name	count	yf	y	m	d	ra_deg	ra_h	ra_m	ra_s	de_deg	de_d	de_m	de_s	oc_ra	oc_de	oc_ra_eps	oc_de_eps	oc_ra_sigma	oc_de_sigma
106	u2        	5	2014.6822381702	2014	9	7.01693211	14.5176625	0	58	4.239		5.4407556	5	26 	26.72		0.04	0.216	0.052	0.07	0.116	0.157
107	u3        	5	2014.6822381702	2014	9	7.01693211	14.5195758	0	58	4.6982		5.4368089	5	26 	12.512		-0.011	0.043	0.008	0.016	0.018	0.035
108	u4        	5	2014.6822381702	2014	9	7.01693211	14.5142958	0	58	3.431		5.4562989	5	27 	22.676		-0.01	-0.006	0.013	0.02	0.029	0.044
109	u3        	5	2014.684971363	2014	9	8.01454748	14.4914975	0	57	57.9594		5.4260122	5	25 	33.644		-0.067	0.05	0.009	0.014	0.021	0.031
110	u4        	5	2014.684971363	2014	9	8.01454748	14.48213	0	57	55.7112		5.4408856	5	26 	27.188		-0.029	-0.03	0.014	0.011	0.031	0.024
111	u3        	5	2014.6877084623	2014	9	9.01358874	14.4609758	0	57	50.6342		5.4182		5	25 	5.52		-0.029	-0.034	0.038	0.015	0.085	0.034
112	u4        	5	2014.6877084623	2014	9	9.01358874	14.4507067	0	57	48.1696		5.4234444	5	25 	24.4		0.214	-0.149	0.038	0.019	0.085	0.042
113	u2        	5	2014.7013582487	2014	9	13.99576077	14.2941617	0	57	10.5988		5.3557661	5	21 	20.758		0.118	-0.031	0.051	0.048	0.114	0.108
114	u4        	5	2014.7013582487	2014	9	13.99576077	14.3006975	0	57	12.1674		5.3411483	5	20 	28.134		0.009	-0.032	0.008	0.019	0.017	0.043
115	u2        	5	2014.706831978	2014	9	15.99367197	14.2318958	0	56	55.655		5.3191922	5	19 	9.092		-0.12	0.092	0.062	0.126	0.14	0.281
116	u3        	5	2014.706831978	2014	9	15.99367197	14.2321458	0	56	55.715		5.3152317	5	18 	54.834		-0.057	0.088	0.016	0.026	0.036	0.057
117	u3        	5	2014.7095631378	2014	9	16.9905453	14.2001675	0	56	48.0402		5.3041389	5	18 	14.9		-0.024	0.126	0.032	0.027	0.072	0.061
118	u4        	5	2014.7095631378	2014	9	16.9905453	14.2007892	0	56	48.1894		5.3117722	5	18 	42.38		0.028	0.075	0.037	0.02	0.083	0.045
119	u2        	5	2014.7122991918	2014	9	17.98920499	14.1595883	0	56	38.3012		5.2995883	5	17 	58.518		0.027	-0.15	0.048	0.097	0.107	0.217
120	u4        	5	2014.7122991918	2014	9	17.98920499	14.1644833	0	56	39.476		5.3020506	5	18 	7.382		-0.09	-0.256	0.024	0.026	0.055	0.059
121	u2        	5	2014.7177643597	2014	9	19.98399131	14.0940783	0	56	22.5788		5.2608639	5	15 	39.11		-0.17	-0.108	0.022	0.04	0.049	0.09
122	u3        	5	2014.7177643597	2014	9	19.98399131	14.0909317	0	56	21.8236		5.2743167	5	16 	27.54		-0.035	-0.236	0.012	0.008	0.026	0.018
123	u4        	5	2014.7177643597	2014	9	19.98399131	14.0898567	0	56	21.5656		5.2772517	5	16 	38.106		-0.073	-0.144	0.008	0.006	0.017	0.014
124	u3        	5	2014.7204923887	2014	9	20.97972189	14.0534525	0	56	12.8286		5.2580061	5	15 	28.822		-0.095	-0.007	0.012	0.018	0.026	0.039
125	u4        	5	2014.7204923887	2014	9	20.97972189	14.0526725	0	56	12.6414		5.2611872	5	15 	40.274		-0.098	-0.084	0.005	0.007	0.011	0.015
126	u2        	5	2014.7450787449	2014	9	29.95374189	13.7312967	0	54	55.5112		5.1199		5	 7 	11.64		-0.07	-0.229	0.07	0.107	0.158	0.238
127	u3        	5	2014.7450787449	2014	9	29.95374189	13.7274908	0	54	54.5978		5.1206911	5	 7 	14.488		-0.087	-0.004	0.012	0.02	0.027	0.045
128	u4        	5	2014.7450787449	2014	9	29.95374189	13.7371583	0	54	56.918		5.114675	5	 6 	52.83		-0.146	0.014	0.012	0.011	0.028	0.024
129	u4        	5	2014.7478143757	2014	9	30.95224714	13.6985492	0	54	47.6518		5.1043711	5	 6 	15.736		-0.115	-0.034	0.008	0.019	0.017	0.043
130	u1        	5	2014.7560090792	2014	10	3.9433139	13.5848433	0	54	20.3624		5.0503772	5	 3 	1.358		-0.164	-0.13	0.091	0.092	0.202	0.205
131	u2        	5	2014.7560090792	2014	10	3.9433139	13.583275	0	54	19.986		5.0574194	5	 3 	26.71		-0.122	-0.48	0.053	0.106	0.117	0.236
132	u3        	5	2014.7560090792	2014	10	3.9433139	13.5867033	0	54	20.8088		5.0458144	5	 2 	44.932		-0.097	0.087	0.011	0.012	0.024	0.027
133	u4        	5	2014.7560090792	2014	10	3.9433139	13.5794192	0	54	19.0606		5.0640583	5	 3 	50.61		-0.075	-0.016	0.009	0.008	0.02	0.017
