sat year month day UT_h UT_m UT_s RA_h RA_m RA_s RA_SEM DEC_deg DEC_arcm DEC_arcs DEC_SEM epoch ref_catalog Obs_code
u3 2015 10 20 21 45 0.08248 1 7 9.137 0.024 6.4043567 24  15.684 0.021 J2000 UCAC4 84
u4 2015 10 20 21 45 0.08248 1 7 8.6844 0.018 6.4028244 24  10.168 0.023 J2000 UCAC4 84
u2 2015 10 28 21 4 0.54792 1 5 58.813 0.023 6.3006889 18  2.48 0.044 J2000 UCAC4 84
u3 2015 10 28 21 4 0.54792 1 5 58.6724 0.023 6.2891222 17  20.84 0.024 J2000 UCAC4 84
u4 2015 10 28 21 4 0.54792 1 5 58.5366 0.018 6.3069733 18  25.104 0.019 J2000 UCAC4 84
u1 2015 10 30 21 0 0.33751 1 5 41.7202 0.118 6.26955 16  10.38 0.126 J2000 UCAC4 84
u2 2015 10 30 21 0 0.33751 1 5 42.384 0.042 6.2619206 15  42.914 0.039 J2000 UCAC4 84
u3 2015 10 30 21 0 0.33751 1 5 43.158 0.031 6.2606694 15  38.41 0.045 J2000 UCAC4 84
u4 2015 10 30 21 0 0.33751 1 5 40.6994 0.01 6.2735644 16  24.832 0.062 J2000 UCAC4 84
u1 2015 11 5 20 34 0.30533 1 4 53.4056 0.053 6.181845 10  54.642 0.073 J2000 UCAC4 84
u2 2015 11 5 20 34 0.30533 1 4 53.2278 0.03 6.1903178 11  25.144 0.059 J2000 UCAC4 84
u3 2015 11 5 20 34 0.30533 1 4 52.3234 0.061 6.1829067 10  58.464 0.059 J2000 UCAC4 84
u4 2015 11 5 20 34 0.30533 1 4 54.4584 0.009 6.1762717 10  34.578 0.018 J2000 UCAC4 84
u1 2015 12 8 18 23 0.53599 1 1 41.08125 0.154 5.8690007 52  8.4025 0.094 J2000 UCAC4 84
u3 2015 12 8 18 23 0.53599 1 1 39.928 0.005 5.8797271 52  47.0175 0.021 J2000 UCAC4 84
u4 2015 12 8 18 23 0.53599 1 1 39.89175 0.056 5.8831542 52  59.355 0.086 J2000 UCAC4 84
u3 2015 12 26 18 56 0.88052 1 1 10.1612 0.027 5.8383494 50  18.058 0.032 J2000 UCAC4 84
u4 2015 12 26 18 56 0.88052 1 1 10.665 0.018 5.8252844 49  31.024 0.061 J2000 UCAC4 84
u3 2015 12 24 17 18 0.73457 1 1 11.66225 0.016 5.8395437 50  22.3575 0.039 J2000 UCAC4 84
u4 2015 12 24 17 18 0.73457 1 1 10.0765 0.032 5.8340132 50  2.4475 0.039 J2000 UCAC4 84
u4 2016 1 1 16 47 0.87606 1 1 15.9272 0.044 5.8487356 50  55.448 0.052 J2000 UCAC4 84
u1 2016 1 6 16 31 0.61088 1 1 23.118 0.059 5.8654067 51  55.464 0.094 J2000 UCAC4 84
u2 2016 1 6 16 31 0.61088 1 1 23.7118 0.061 5.8650772 51  54.278 0.221 J2000 UCAC4 84
u3 2016 1 6 16 31 0.61088 1 1 23.1154 0.01 5.85532 51  19.152 0.016 J2000 UCAC4 84
u4 2016 1 6 16 31 0.61088 1 1 21.9836 0.006 5.8658756 51  57.152 0.027 J2000 UCAC4 84
u3 2016 1 7 16 23 0.77861 1 1 26.1102 0.011 5.8583711 51  30.136 0.027 J2000 UCAC4 84
u4 2016 1 7 16 23 0.77861 1 1 24.3836 0.083 5.8654217 51  55.518 0.027 J2000 UCAC4 84
u3 2016 1 8 16 21 0.24068 1 1 29.0752 0.019 5.8658411 51  57.028 0.009 J2000 UCAC4 84
u4 2016 1 8 16 21 0.24068 1 1 27.2558 0.008 5.8655678 51  56.044 0.019 J2000 UCAC4 84
u3 2016 1 10 16 8 0.98883 1 1 34.1022 0.034 5.8873672 53  14.522 0.016 J2000 UCAC4 84
u4 2016 1 10 16 8 0.98883 1 1 33.9704 0.026 5.8713072 52  16.706 0.026 J2000 UCAC4 84
u1 2012 10 22 20 43 0.526 0 21 12.2492 0.025 1.4767072 28  36.146 0.027 J2000 UCAC4 84
u1 2013 9 4 0 23 0.69644 0 43 15.619 0.057 3.8658022 51  56.888 0.081 J2000 UCAC4 84
u1 2013 9 8 0 8 0.88906 0 42 45.736 0.02 3.8047217 48  16.998 0.023 J2000 UCAC4 84
u2 2012 8 30 0 28 0.46434 0 28 45.7838 0.068 2.2896294 17  22.666 0.128 J2000 UCAC4 84
u2 2012 8 31 0 22 0.0569 0 28 39.2428 0.102 2.2744389 16  27.98 0.09 J2000 UCAC4 84
u2 2013 9 1 0 40 0.04617 0 43 37.21 0.011 3.9053172 54  19.142 0.037 J2000 UCAC4 84
