sat  year  month  day  UT_h  UT_m  UT_s  RA_h  RA_m  RA_s  RA_SEM  DEC_deg  DEC_arcm  DEC_arcs  DEC_SEM  epoch  ref_catalog  Obs_code
u2  2012  8  31  0  22  0.0569  0  28  39.243  0.102  2  16   27.98  0.09  J2000  UCAC4  84
u2  2013  9  1  0  40  0.0462  0  43  37.21  0.011  3  54   19.142  0.037  J2000  UCAC4  84
u2  2013  9  4  0  23  0.6964  0  43  16.187  0.037  3  51   31.248  0.05  J2000  UCAC4  84
u2  2013  9  6  0  11  0.2595  0  43  0.244  0.033  3  50   23.604  0.037  J2000  UCAC4  84
u2  2013  9  9  23  55  0.0799  0  42  29.446  0.015  3  47   6.4  0.021  J2000  UCAC4  84
u2  2013  9  15  23  40  0.5313  0  41  41.407  0.036  3  41   16.69  0.081  J2000  UCAC4  84
u2  2013  10  21  21  9  0.0747  0  36  26.632  0.036  3   8   32.998  0.026  J2000  UCAC4  84
u2  2013  11  29  18  29  0.3341  0  32  26.964  0.011  2  43   35.748  0.014  J2000  UCAC4  84
u3  2012  8  30  0  28  0.4643  0  28  46.824  0.021  2  17   26.938  0.028  J2000  UCAC4  84
u3  2012  8  31  0  22  0.0569  0  28  39.155  0.016  2  17   0.32  0.033  J2000  UCAC4  84
u3  2012  9  1  0  16  0.7629  0  28  31.19  0.003  2  16   25.122  0.014  J2000  UCAC4  84
u3  2012  9  9  23  41  0.8631  0  27  20.69  0.02  2   8   46.118  0.024  J2000  UCAC4  84
u3  2012  10  6  21  51  0.0116  0  23  25.579  0.009  1  43   28.646  0.017  J2000  UCAC4  84
u3  2012  10  7  21  50  0.0926  0  23  16.727  0.013  1  42   17.086  0.021  J2000  UCAC4  84
u3  2012  10  22  20  43  0.526  0  21  12.007  0.006  1  29   14.126  0.01  J2000  UCAC4  84
u3  2012  10  28  20  36  0.7436  0  20  27.284  0.009  1  23   37.914  0.018  J2000  UCAC4  84
u3  2012  11  13  19  16  0.9179  0  18  45.614  0.013  1  13   12.34  0.02  J2000  UCAC4  84
u3  2012  12  15  17  7  0.7782  0  17  23.29  0.043  1   6   34.446  0.026  J2000  UCAC4  84
u3  2012  12  18  17  1  0.2723  0  17  26.166  0.021  1   6   3.456  0.016  J2000  UCAC4  84
u3  2012  12  19  16  55  0.8923  0  17  27.641  0.006  1   6   11.368  0.023  J2000  UCAC4  84
u3  2013  9  1  0  40  0.0462  0  43  37.381  0.006  3  54   26.944  0.017  J2000  UCAC4  84
